"","TIME","PUN","DEM","SOLAR","WIND"
"310",2015-11-06,36.6104166666667,6343738,36410.5135,29493.4495
"311",2015-11-07,27.7366666666667,5450802,21083.2595,40129.178
"312",2015-11-08,21.94375,5013381,46560.0715,40806.7045
"313",2015-11-09,28.4166666666667,6342706,29998.5655,115836.7475
"314",2015-11-10,29.4625,6468706,39360.655,162948.6875
"315",2015-11-11,35.02375,6540210,37462.4395,82659.036
"316",2015-11-12,36.6508333333333,6538282,41184.1675,47387.9425
"317",2015-11-13,31.5220833333333,6499015,33890.2545,73105.783
"318",2015-11-14,21.0470833333333,5681984,42702.6955,153408.392
"319",2015-11-15,23.8454166666667,5231625,22376.628,136406.991
"320",2015-11-16,30.4854166666667,6459785,46782.4455,111421.9045
"321",2015-11-17,30.6558333333333,6587540,12385.0645,68123.228
"322",2015-11-18,20.9916666666667,6605620,32355.95,142517.153
"323",2015-11-19,25.4829166666667,6664538,26428.3045,116149.1825
"324",2015-11-20,38.2025,6590254,13194.02,76576.069
"325",2015-11-21,29.6025,5791997,26298.92,97564.7125
"326",2015-11-22,25.95125,5356794,31946.3115,125836.2005
"327",2015-11-23,49.8704166666667,6561984,35170.325,29142.6845
"328",2015-11-24,35.0070833333333,6737755,37837.0225,56070.619
"329",2015-11-25,41.9633333333333,6528046,13001.4785,56457.266
"330",2015-11-26,51.1804166666667,6521558,20288.1385,94865.6395
"331",2015-11-27,36.5229166666667,6676247,27745.145,94540.6585
"332",2015-11-28,26.74125,5827722,18158.953,127159.059
"333",2015-11-29,11.2345833333333,5498832,9585.6665,135911.303
"334",2015-11-30,25.7020833333333,6658670,11890.3205,207553.71775
"335",2015-12-01,35.8454166666667,6810263,9215.512,164938.0045
"336",2015-12-02,36.5904166666667,6735909,22616.377,65938.868
"337",2015-12-03,42.3395833333333,6755658,27479.0485,28383.922
"338",2015-12-04,30.4283333333333,6666936,20947.781,73269.9565
"339",2015-12-05,23.40375,6051807,25583.284,84498.946
"340",2015-12-06,18.02625,5793360,31301.7015,70538.235
"341",2015-12-07,40.6395833333333,6618649,28196.743,21822.032
"342",2015-12-08,34.6741666666667,6560017,40490.4125,63951.9545
"343",2015-12-09,34.8208333333333,6589458,22321.5605,79796.5395
"344",2015-12-10,29.3133333333333,6736081,37267.3365,88074.087
"345",2015-12-11,26.3604166666667,6748024,26515.8975,63392.898
"346",2015-12-12,25.5929166666667,5944964,18240.991,94199.268
"347",2015-12-13,27.8695833333333,5584389,22924.08,66747.745
"348",2015-12-14,41.8041666666667,6449990,30235.561,25559.2975
"349",2015-12-15,42.7441666666667,6681100,14970.393,21156.878
"350",2015-12-16,36.6466666666667,6698467,9629.55,40397.725
"351",2015-12-17,32.5858333333333,6656924,13265.298,76206.2215
"352",2015-12-18,32.5420833333333,6483928,11815.8415,37629.948
"353",2015-12-19,26.63875,5587698,26696.6365,38662.6185
"354",2015-12-20,17.3758333333333,5234930,32151.8585,116573.911
"355",2015-12-21,23.3570833333333,6343025,13640.763,61340.9085
"356",2015-12-22,18.22625,6417447,21395.1075,80114.6025
"357",2015-12-23,20.1704166666667,6006179,24994.0155,57323.499
"358",2015-12-24,16.1908333333333,5738472,29895.8805,52642.903
"359",2015-12-25,13.65625,4859548,28527.1695,38654.926
"360",2015-12-26,6.87958333333333,4524359,36019.4285,54714.975
"361",2015-12-27,16.1795833333333,4793414,40084.489,40343.6735
"362",2015-12-28,30.4666666666667,5845866,40980.2565,25166.54
"363",2015-12-29,31.2054166666667,5933970,32306.385,32980.298
"364",2015-12-30,26.4254166666667,5588898,28117.4805,73016.558
"365",2015-12-31,22.3529166666667,4907202,18999.4225,133804.23875
"366",2016-01-01,24.88,4897947,17225.581,21395.68
"367",2016-01-02,17.5033333333333,4880159,11989.7685,79210.7635
"368",2016-01-03,14.4283333333333,4708491,14256.7929,91452.55
"369",2016-01-04,27.9433333333333,5604819,10584.168,133852.01
"370",2016-01-05,33.4554166666667,5937852,11946.2685,63622.8195
"371",2016-01-06,33.5975,5897569,15122.8345,33687.4425
"372",2016-01-07,32.8,6128422,11188.805,62706.84
"373",2016-01-08,27.55,6139402,36134.1235,99522.0925
"374",2016-01-09,28.45875,5664552,15194.3655,30786.1225
"375",2016-01-10,20.8283333333333,5320307,20678.655,41678.9405
"376",2016-01-11,33.5979166666667,6311095,12475.122,67158.8955
"377",2016-01-12,29.425,6375353,14160.2925,129636.53
"378",2016-01-13,29.2975,6402144,13329.8125,180957.3815
"379",2016-01-14,33.60625,6585390,31771.615,71868.7605
"380",2016-01-15,35.5104166666667,6591539,13865.479,114725.854
"381",2016-01-16,28.05625,5938071,20226.057,107454.6665
"382",2016-01-17,27.6954166666667,5616450,24110.6945,101071.4885
"383",2016-01-18,39.1991666666667,6577770,29976.097,59865.9595
"384",2016-01-19,47.95625,6632143,21750.823,19693.5505
"385",2016-01-20,48.8766666666667,6827983,17385.974,34278.8445
"386",2016-01-21,52.1129166666667,6870661,23697.945375,82823.4335
"387",2016-01-22,33.1420833333333,6959546,29613.092,41898.107
"388",2016-01-23,28.2645833333333,6012138,9864.448,74402.4165
"389",2016-01-24,26.1779166666667,5701752,12419.821,79465.299
"390",2016-01-25,28.3470833333333,6772196,25958.077,64680.125
"391",2016-01-26,25.1245833333333,6752266,30562.3425,55379.007
"392",2016-01-27,19.3495833333333,6836516,21672.2395,80338.2055
"393",2016-01-28,26.0770833333333,6795282,28377.5075,72064.7695
"394",2016-01-29,22.355,6884138,37475.788,87227.022
"395",2016-01-30,11.8166666666667,6133152,27226.3425,80671.4185
"396",2016-01-31,12.3795833333333,5653804,18887.8035,108538.755
"397",2016-02-01,20.74375,6633471,19949.8675,114895.44175
"398",2016-02-02,16.9733333333333,6455297,25372.2895,100898.409
"399",2016-02-03,23.0454166666667,6676993,33256.0775,111898.542
"400",2016-02-04,26.6370833333333,6767219,19009.709,144284.8155
"401",2016-02-05,27.5925,6707056,14909.1755,70914.8265
"402",2016-02-06,15.7475,5993927,60151.6205,99770.31
"403",2016-02-07,9.98166666666667,5607465,39988.344,168397.55
"404",2016-02-08,12.3929166666667,6539891,33020.538,133574.755
"405",2016-02-09,17.5279166666667,6492230,25792.059125,153172.3255
"406",2016-02-10,24.5225,6701774,31675.172,192198.6125
"407",2016-02-11,25.9275,6708895,45971.218,127728.5855
"408",2016-02-12,28.5675,6614975,64681.3545,49838.228
"409",2016-02-13,22.5545833333333,5698370,46421.4705,54837.214
"410",2016-02-14,15.5125,5317967,32077.443,80157.2185
"411",2016-02-15,24.76875,6171411,30362.3605,79106.807
"412",2016-02-16,32.2270833333333,6183234,52421.6095,99388.2925
"413",2016-02-17,26.1629166666667,6594518,44378.7775,70001.703
"414",2016-02-18,27.91,6633015,60340.994,27521.1225
"415",2016-02-19,27.2145833333333,6615254,36793.7695,110617.539
